Name,Unmodelled _BP_from,Unmodelled _BP_to,Unmodelled _BP_percent1,Unmodelled _BP_from,Unmodelled _BP_to,Unmodelled _BP_percent2,Unmodelled _BP_mu,Unmodelled _BP_sigma,Unmodelled _BP_median,Modelled_BP_from,Modelled_BP_to,Modelled_BP_percent1,Modelled_BP_from,Modelled_BP_to,Modelled_BP_percent2,Modelled_BP_mu,Modelled_BP_sigma,Modelled_BP_median
 Boundary,,,,,,,,,,55280,50680,68.268948,58150,49090,95.449973,53470,2470,53230
"dups R_Combine(26735,105)",31090,30940,68.268949,31140,30840,95.449974,31000,80,31010,31090,30940,68.268949,31140,30840,95.449974,31000,80,31010
"UCIAMS 198208 R_Date(25620,160)",30110,29780,68.268949,30180,29320,95.449974,29880,210,29930,30110,29820,68.268949,30220,29340,95.449974,29910,190,29950
"UCIAMS 198295 R_Date(33070,350)",38330,37030,68.268949,39090,36770,95.449974,37810,620,37740,38350,37030,68.268949,39090,36770,95.449974,37810,620,37740
"UCIAMS 198296 R_Date(47400,2000)",54210,47990,68.268949,...,47190,95.449974,50740,2200,50620,51720,47840,68.268949,54000,46380,95.449974,49950,1900,49800
"UCIAMS 198297 R_Date(28600,210)",33240,32240,68.268949,33620,32060,95.449974,32810,420,32840,33240,32240,68.268949,33620,32060,95.449974,32810,420,32840
"UCIAMS 198298 R_Date(26310,150)",30800,30370,68.268949,30960,30190,95.449974,30580,200,30580,30800,30370,68.268949,30960,30190,95.449974,30580,200,30580
"UCIAMS 223513 R_Date(25830,140)",30200,29980,68.268949,30350,29900,95.449974,30110,120,30100,30200,29980,68.268949,30350,29910,95.449974,30120,120,30100
"UCIAMS 223515 R_Date(27200,160)",31340,31090,68.268949,31590,31060,95.449974,31270,140,31230,31340,31090,68.268949,31590,31060,95.449974,31270,140,31230
"UCIAMS 223516 R_Date(26780,160)",31130,30920,68.268949,31210,30740,95.449974,30990,130,31010,31130,30920,68.268949,31210,30740,95.449974,30990,130,31010
"UCIAMS 223517 R_Date(36870,500)",42030,41380,68.268949,42260,41060,95.449974,41670,310,41690,42030,41370,68.268949,42260,41060,95.449974,41670,310,41690
"UCIAMS 223518 R_Date(49800,2500)",...,51230,68.268949,...,48850,95.449974,52140,1820,52340,52650,48850,68.268949,54670,48010,95.449974,51000,1750,50880
"UCIAMS 223519 R_Date(49400,2400)",...,50990,68.268949,...,48640,95.449974,51970,1880,52120,52480,48720,68.268948,54680,47900,95.449974,50880,1770,50750
"UCIAMS 223520 R_Date(28750,190)",33660,32860,68.268949,33760,32220,95.449974,33090,410,33150,33650,32860,68.268949,33770,32220,95.449974,33090,410,33150
"UCIAMS 223522 R_Date(38490,610)",42720,42210,68.268949,43100,41950,95.449974,42510,300,42480,42720,42210,68.268949,43100,41940,95.449974,42510,300,42480
Event,,,,,,,,,,49780,29950,68.268951,54010,28480,95.449973,40910,7440,40850
 Boundary,,,,,,,,,,30010,28040,68.26895,30110,24930,95.449974,28370,1730,28910
