Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats
LACMP23-40433	NSF-19-204	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lower lt m1	grade 1+, surface covered	7/29/2019	y
LACMP23-40434	NSF-19-205	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 1	7/29/2019	y
LACMP23-40435	NSF-19-206	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lower rt m1	grade 0	7/29/2019	y
LACMP23-40436	NSF-19-207	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 1	7/29/2019	y
LACMP23-40437	NSF-19-208	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	upper lt M2		7/29/2019	y
LACMP23-40438	NSF-19-209	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	upper lt M2		7/29/2019	y
LACMP23-40439	NSF-19-210	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	small accessory loph	7/29/2019	y
LACMP23-40440	NSF-19-211	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m2		7/29/2019	y
LACMP23-40441	NSF-19-212	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m2		7/29/2019	y
LACMP23-40442	NSF-19-213	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lt maxillary frag		7/29/2019	y
LACMP23-40443	NSF-19-214	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 1	7/29/2019	y
LACMP23-40444	NSF-19-215	B2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m2	juv?	7/29/2019	y
LACMP23-40445	NSF-19-216	B3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. californicus	upper lt M1	small ant and post accessory lophs; large	2/20/2020	y
LACMP23-40446	NSF-19-217	B3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 0-1	7/29/2019	y
LACMP23-40447	NSF-19-218	B3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m2	juv?	7/29/2019	y
LACMP23-40007	NSF-19-219	B3/L1	Mammalia	Rodentia					rt anterior dentary frag			y
LACMP23-40541	NSF-19-220	B3/L1	Mammalia	Carnivora	Canidae		Canis	dirus	rt DP3		2/26/2019	y
LACMP23-40008	NSF-19-221	B3/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1		5/17/2020	y
LACMP23-40009	NSF-19-222	B3/L1	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower rt p4			y
LACMP23-40010	NSF-19-223	B3/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y
LACMP23-40011	NSF-19-224	B3/L1	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	molar			y
LACMP23-40012	NSF-19-225	B3/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y
LACMP23-40013	NSF-19-226	B3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-40014	NSF-19-227	B3/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1 frag			y
LACMP23-40015	NSF-19-228	B3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	tooth frag			y
LACMP23-40016	NSF-19-229	B3/L1	Mammalia	Rodentia	Sciuridae	Xerinae			lower rt p4	small for beecheyi		y
LACMP23-40017	NSF-19-230	B3/L1	Mammalia	Rodentia	Sciuridae	Xerinae			lower rt p4	small for beecheyi		y
LACMP23-40018	NSF-19-231	B3/L1	Mammalia	Rodentia	Sciuridae	Xerinae			lower molar frag			y
LACMP23-40019	NSF-19-232	B3/L1	Mammalia	Rodentia	Sciuridae	Xerinae			lower tooth frag			y
LACMP23-40020	NSF-19-233	B3/L1	Mammalia	Rodentia	?Sciuridae				tooth frag			y
LACMP23-40021	NSF-19-234	B3/L1	Mammalia	?Rodentia					lt anterior dentary frag			y
LACMP23-40022	NSF-19-235	A2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	rt M1			y
LACMP23-40023	NSF-19-236	A2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial lower lt m1			y
LACMP23-40024	NSF-19-237	A2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M2			y
LACMP23-40025	NSF-19-238	A2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	rt dentary frag			y
LACMP23-40026	NSF-19-239	A2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1 frag			y
LACMP23-40027	NSF-19-240	A2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus	sp	molar frag			y
LACMP23-40028	NSF-19-241	A2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus	sp	molar frag			y
LACMP23-40029	NSF-19-242	A2/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower rt p4			y
LACMP23-40030	NSF-19-243	A2/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower lt m1/m2			y
LACMP23-40031	NSF-19-244	A2/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Neotamias/Tamias	sp	lower rt dp4			y
LACMP23-40032	NSF-19-245	A2/L2	Mammalia	Rodentia	Sciuridae	Xerinae			upper tooth frag			y
LACMP23-40033	NSF-19-246	A2/L2	Mammalia	Rodentia	Sciuridae	Xerinae			upper tooth frag			y
LACMP23-42211	NSF-19-247	A2/L2	Mammalia	Rodentia	Sciuridae	Xerinae			lower tooth frag			y
LACMP23-42212	NSF-19-248	A2/L2	Mammalia	Rodentia	Sciuridae	Xerinae			upper tooth frag			y
LACMP23-42213	NSF-19-249	A2/L2	Mammalia	Rodentia	Sciuridae	Xerinae			lower tooth frag			y
LACMP23-40542	NSF-19-250	A2/L2	Mammalia	Carnivora	Mustelidae	Mustelinae	Mustela	frenata	lower lt p2		2/26/2019	y
LACMP23-40543	NSF-19-251	A2/L2	Mammalia	Carnivora	Mustelidae	Mustelinae	Mustela	frenata	lower lt p3			y
LACMP23-40544	NSF-19-252	A2/L2	Mammalia	Carnivora	Mustelidae	Mustelinae	Mustela	frenata	lt I3		2/26/2019	n
LACMP23-40448	NSF-19-253	A2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1		7/29/2019	y
LACMP23-40449	NSF-19-254	A2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m2		7/29/2019	y
LACMP23-40450	NSF-19-255	A2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. maniculatus	lower rt m1	grade 0, small anteroconid	7/29/2019	y
LACMP23-40451	NSF-19-256	A2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 0, worn	7/29/2019	y
LACMP23-40452	NSF-19-257	A2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 0, worn	7/29/2019	y
LACMP23-40453	NSF-19-258	A2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	weathered	7/29/2019	y
LACMP23-40454	NSF-19-259	A2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	anterior chipped away	7/29/2019	y
LACMP23-40455	NSF-19-260	A2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m2		7/29/2019	y
LACMP23-40456	NSF-19-261	A2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. maniculatus	lower lt m1	small anteroconid, grade 0	7/29/2019	y
LACMP23-40457	NSF-19-262	A2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m2		7/29/2019	y
LACMP23-40458	NSF-19-263	A2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper rt M1	small accessory loph	7/29/2019	y
LACMP23-40459	NSF-19-264	A2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M2		7/29/2019	y
LACMP23-40034	NSF-19-265	A2/L2	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower lt p4			y
LACMP23-40035	NSF-19-266	A2/L2	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y
LACMP23-40036	NSF-19-267	A2/L2	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y
LACMP23-40037	NSF-19-268	A2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-40038	NSF-19-269	A2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt P2			y
LACMP23-40039	NSF-19-270	A2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	partial lt p3		11/19/2019	y
LACMP23-40040	NSF-19-271	A2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth	juv?		y
LACMP23-40041	NSF-19-272	A2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag			y
LACMP23-40042	NSF-19-273	A2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag			y
LACMP23-40043	NSF-19-274	A2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower m3			y
LACMP23-40044	NSF-19-275	A2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag			y
LACMP23-40045	NSF-19-276	A2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	tooth frag			y
LACMP23-40046	NSF-19-277	A2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-39811	NSF-19-278	B2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	lt anterior dentary frag w/ p3,p4,m2			y
LACMP23-39812	NSF-19-279	B2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lt posterior dentary frag w/ m1-m2			y
LACMP23-39813	NSF-19-280	B2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	rt posterior dentary frag w/ m1			y
LACMP23-39814	NSF-19-281	B2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lt anterior dentary frag			y
LACMP23-39815	NSF-19-282	B2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf audubonii	lt maxilla w/ P3-M2			y
LACMP23-39816	NSF-19-283	B2/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	rt maxilla w/ P3+M1	juv?		y
LACMP23-39817	NSF-19-284	B2/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	rt maxilla frag			y
LACMP23-39818	NSF-19-285	B3/L2-T1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lt posterior dentary frag w p4			y
LACMP23-39819	NSF-19-286	B3/L2-T1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt anterior dentary frag w/ p3-m1			y
LACMP23-39820	NSF-19-287	B3/L2-T1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	rt anterior dentary frag w/ p3-m2	8/13/2019		y
LACMP23-39821	NSF-19-288	B3/L2-T1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	rt anterior dentary frag w/ m1			y
LACMP23-39822	NSF-19-289	B3/L2-T1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lt dentary frag w/ p4-m2			y
LACMP23-39823	NSF-19-290	B3/L2-T1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	rt posterior dentary frag w/ m1-m2			y
LACMP23-39824	NSF-19-291	B3/L2-T1	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lt anterior dentary frag w/ p4			y
LACMP23-39825	NSF-19-292	B3/L2-T2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lt dentary w/ i1	juv?		y
LACMP23-39826	NSF-19-293	B3/L2-T2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	rt maxillary frag w/ P4			y
LACMP23-39827	NSF-19-294	B3/L2-T1	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lt dentary frag	juv?		y
LACMP23-39828	NSF-19-295	B3/L3-T1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lt maxilla w/ P3+M1			y
LACMP23-39829	NSF-19-296	B3/L3-T1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	rt maxilla 			y
LACMP23-39830	NSF-19-297	B3/L3-T1	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lt dentary w/ m1			y
LACMP23-39831	NSF-19-298	B3/L3-T1	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	rt maxilla w/ dP4, unerupted P4, and M1	juv		y
LACMP23-39832	NSF-19-299	B3/L3-T1	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	rt maxilla frag			y
LACMP23-39833	NSF-19-300	B3/L3-T1	Mammalia	Carnivora	Mustelidae	Mustelinae	Mustela	frenata	rt dentary w/ m1			y
LACMP23-39834	NSF-19-301	B3/L3-T1	Mammalia	Carnivora	Mustelidae	Mustelinae	Mustela	frenata	lt dentary frag w/ m1			y
LACMP23-40460	NSF-19-302	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. maniculatus	lt M1	large accessory lophs, worn	7/29/2019	y
LACMP23-40461	NSF-19-303	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	rt M1	small accessory loph	7/29/2019	y
LACMP23-40462	NSF-19-304	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	rt M1	small accessory loph	7/29/2019	y
LACMP23-40463	NSF-19-305	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lt m1	worn, grade 0	7/29/2019	y
LACMP23-40464	NSF-19-306	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. maniculatus	rt m1	grade 0, small anteroconid	7/29/2019	y
LACMP23-40465	NSF-19-307	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lt m1	grade 0	7/29/2019	y
LACMP23-40466	NSF-19-308	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	maniculatus	rt m1	grade 0, small anteroconid, slighly small for Pman	7/29/2019	y
LACMP23-40467	NSF-19-309	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	rt m1	grade 1-2	7/29/2019	y
LACMP23-40468	NSF-19-310	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	cf P. maniculatus	lt m1	grade 0, small anteroconid	7/29/2019	y
LACMP23-40469	NSF-19-311	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lt m1	grade 1-2	7/29/2019	y
LACMP23-40470	NSF-19-312	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	rt m1	grade 1-2	7/29/2019	y
LACMP23-40471	NSF-19-313	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lt m1	grade 0	7/29/2019	y
LACMP23-40472	NSF-19-314	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lt dentary		7/29/2019	y
LACMP23-40473	NSF-19-315	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lt m1	trefoil anteroconid, grade 2	7/29/2019	y
LACMP23-40474	NSF-19-316	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae			rt m1	worn, grade 0, posterior broken	7/29/2019	y
LACMP23-40475	NSF-19-317	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae			partial rt m1	grade 1	7/29/2019	y
LACMP23-40477	NSF-19-318	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae			m1 frag		7/29/2019	y
LACMP23-40476	NSF-19-319	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	partial lt M1		7/29/2019	y
LACMP23-40478	NSF-19-320	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae			lt m2	size intermediate b/w Pman and Reithro	7/29/2019	y
LACMP23-40479	NSF-19-321	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae			lt m2	small for Pman, juv?	7/29/2019	y
LACMP23-40480	NSF-19-322	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lt m2		7/29/2019	y
LACMP23-40481	NSF-19-323	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae			rt m2	size intermediate b/w Pman and Reithro	7/29/2019	y
LACMP23-40482	NSF-19-324	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae			rt m2	size intermediate b/w Pman and Reithro	7/29/2019	y
LACMP23-40483	NSF-19-325	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae			lt m2	worn, size intermediate b/w Pman and Reithro	7/29/2019	y
LACMP23-40484	NSF-19-326	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	rt m2		7/29/2019	y
LACMP23-40485	NSF-19-327	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lt m2		7/29/2019	y
LACMP23-40486	NSF-19-328	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	rt m2		7/29/2019	y
LACMP23-40487	NSF-19-329	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	rt m2		7/29/2019	y
LACMP23-40047	NSF-19-330	A3/L2	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lt? p4			y
LACMP23-40048	NSF-19-331	A3/L2	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	molar			y
LACMP23-40049	NSF-19-332	A3/L2	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag			y
LACMP23-40050	NSF-19-333	A3/L2	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y
LACMP23-40051	NSF-19-334	A3/L2	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y
LACMP23-40052	NSF-19-335	A3/L2	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag	juv		y
LACMP23-40053	NSF-19-336	A3/L2	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag	juv		y
LACMP23-40054	NSF-19-337	A3/L2	Mammalia	Rodentia	Heteromyidae				p4	juv		y
LACMP23-40545	NSF-19-338	A3/L2	Mammalia	Carnivora					partial premolar?			y
LACMP23-40546	NSF-19-339	A3/L2	Mammalia	Carnivora	Mustelidae	Mustelinae	Mustela	frenata	lt p3		8/2/2019	y
LACMP23-40547	NSF-19-340	A3/L2	Mammalia	Carnivora	Mephitidae		?Mephitis	mephitis	partial rt p2	maybe Spilo??	2/26/2019	y
LACMP23-40055	NSF-19-341	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Neotamias/Tamias	sp	rt p4			y
LACMP23-40056	NSF-19-342	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	rt dp4			y
LACMP23-40057	NSF-19-343	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	rt dp4			y
LACMP23-40058	NSF-19-344	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	rt m1/m2			y
LACMP23-40059	NSF-19-345	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lt M1/M2			y
LACMP23-40060	NSF-19-346	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lt M1/M2			y
LACMP23-40061	NSF-19-347	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lt M1/M2			y
LACMP23-40062	NSF-19-348	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lt M1/M2			y
LACMP23-40063	NSF-19-349	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	rt M3			y
LACMP23-40064	NSF-19-350	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	rt M3 frag			y
LACMP23-40065	NSF-19-351	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lt M3 frag			y
LACMP23-40066	NSF-19-352	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lt P4 frag			y
LACMP23-40067	NSF-19-353	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	rt P4			y
LACMP23-40068	NSF-19-354	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	rt P4 frag			y
LACMP23-40069	NSF-19-355	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae			upper tooth frag			y
LACMP23-40070	NSF-19-356	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae			upper tooth frag			y
LACMP23-40071	NSF-19-357	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae			upper tooth frag			y
LACMP23-40072	NSF-19-358	A3/L2	Mammalia	Rodentia	Sciuridae	Xerinae			upper tooth frag			y
LACMP23-40073	NSF-19-359	A3/L2	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	?bottae	rt p4			y
LACMP23-40074	NSF-19-360	A3/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth	juv		y
LACMP23-40075	NSF-19-361	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	lower lt molar (m2?)	juv		y
LACMP23-40076	NSF-19-362	A3/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	molar frag (lt M1?)			y
LACMP23-40077	NSF-19-363	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower molar frag			y
LACMP23-40078	NSF-19-364	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower molar frag			y
LACMP23-40079	NSF-19-365	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower molar frag			y
LACMP23-40080	NSF-19-366	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower molar frag			y
LACMP23-40081	NSF-19-367	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower molar frag			y
LACMP23-40082	NSF-19-368	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower molar frag			y
LACMP23-40083	NSF-19-369	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower molar frag			y
LACMP23-40084	NSF-19-370	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower molar frag			y
LACMP23-40085	NSF-19-371	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower molar frag			y
LACMP23-40086	NSF-19-372	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower molar frag			y
LACMP23-40087	NSF-19-373	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower molar frag			y
LACMP23-40088	NSF-19-374	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower molar frag			y
LACMP23-40089	NSF-19-375	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower molar frag			y
LACMP23-40090	NSF-19-376	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lt m1			y
LACMP23-40091	NSF-19-377	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lt m1			y
LACMP23-40092	NSF-19-378	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial lt m1			y
LACMP23-40093	NSF-19-379	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial rt m1			y
LACMP23-40094	NSF-19-380	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	rt m1 frag			y
LACMP23-40095	NSF-19-381	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	rt m1 frag			y
LACMP23-40096	NSF-19-382	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	rt m3			y
LACMP23-40097	NSF-19-383	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lt M1	juv?		y
LACMP23-40098	NSF-19-384	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	rt M1			y
LACMP23-40099	NSF-19-385	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lt M2			y
LACMP23-40100	NSF-19-386	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	rt M2			y
LACMP23-40101	NSF-19-387	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	rt M2			y
LACMP23-40102	NSF-19-388	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lt M3 			y
LACMP23-40103	NSF-19-389	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lt M3 			y
LACMP23-40104	NSF-19-390	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lt M3 			y
LACMP23-40105	NSF-19-391	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	rt M3			y
LACMP23-40106	NSF-19-392	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	rt M3			y
LACMP23-40107	NSF-19-393	A3/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y
LACMP23-40108	NSF-19-394	A3/L2	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag			y
LACMP23-40109	NSF-19-395	A3/L2	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag			y
LACMP23-40110	NSF-19-396	A3/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	partial rt p3	waterworn		y
LACMP23-40111	NSF-19-397	A3/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	?audubonii	lt p3	waterworn		y
LACMP23-40112	NSF-19-398	A3/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y
LACMP23-40113	NSF-19-399	A3/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y
LACMP23-40114	NSF-19-400	A3/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y
