Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats
LACMP23-28065	NSF-16-01A1	A1/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth			y
LACMP23-28066	NSF-16-01A2	A1/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y
LACMP23-28067	NSF-16-01A3	A1/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth			y
LACMP23-28068	NSF-16-01A4	A1/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth			y
LACMP23-28069	NSF-16-01A5	A1/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y
LACMP23-28346	NSF-16-01B	A1/L1	Mammalia	Carnivora	Canidae		Canis	dirus	Juv. anterior dentary frag w/ partially erupted premolar			n
LACMP23-28070	NSF-16-01C	A1/L1	Mammalia	Carnivora	Mephitidae		Mephitis	mephitis	lower lt p4			y
LACMP23-28071; LACMP23-28072	NSF-16-01D	A1/L1	Mammalia	Rodentia/Lagomorpha					2 incisors			n
LACMP23-28074 	NSF-16-02A	A1/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y
LACMP23-28075	NSF-16-02B	A1/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y
LACMP23-28076	NSF-16-02C	A1/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	partial upper tooth			y
LACMP23-28077; LACMP23-28078	NSF-16-03	A1/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M1 (2 frags)			y
LACMP23-28073	NSF-16-04	A2/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lt maxilla and P4		7/19/2020	y
LACMP23-28080	NSF-16-05A	A2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-28081	NSF-16-05B	A2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y
LACMP23-28079	NSF-16-06	A2/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper lt M3		7/19/2020	y
LACMP23-28082	NSF-16-07	A2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	bachmani	lower rt p3			y
LACMP23-28083	NSF-16-08	A2/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower rt m1		7/19/2020	y
LACMP23-28084	NSF-16-09	A2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf S. audubonii	lower lt p3			y
LACMP23-28085	NSF-16-10	A2/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	lower rt m1/m2		7/19/2020	y
LACMP23-28086	NSF-16-11	A2/L2	Mammalia	Lagomorpha	Leporidae		cf Sylvilagus		upper incisor			n
LACMP23-28087; LACMP23-28088; LACMP23-28089; LACMP23-28090; LACMP23-28091; LACMP23-28092	NSF-16-12	A2/L2	Mammalia	Rodentia/Lagomorpha					misc. incisors			n
LACMP23-28093	NSF-16-13	A2/L2	Mammalia	Rodentia/Lagomorpha					incisor			n
LACMP23-28094	NSF-16-14	B2/L2	Mammalia	Rodentia/Lagomorpha					incisor			n
LACMP23-28095	NSF-16-15	B2/L2	Mammalia	Rodentia/Lagomorpha					incisor			n
LACMP23-28096	NSF-16-16	B2/L2	Mammalia	Lagomorpha	Leporidae				lower rt tooth	Occlusal surface partially broken		y
LACMP23-28097	NSF-16-17	B2/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper lt M3			y
LACMP23-28098	NSF-16-18	B2/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	partial lower lt molar			y
LACMP23-28099	NSF-16-19	B2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth	Occlusal surface partially broken		y
LACMP23-28100	NSF-16-20a	B2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M1			y
LACMP23-28101	NSF-16-20b	B2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M2	anterior broken		y
LACMP23-28102	NSF-16-21	B2/L2	Mammalia	Rodentia	?Geomyidae				tooth frag		2/27/2019	y
LACMP23-28103	NSF-16-22	B2/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	partial lower rt molar	juv		y
LACMP23-28104	NSF-16-23	B2/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper rt M3			y
LACMP23-28105	NSF-16-24a	B2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	lower rt p3		3/26/2019	y
LACMP23-28106	NSF-16-24b	B2/L2	Mammalia	Lagomorpha	Leporidae				tooth frag			y
LACMP23-28107	NSF-16-25	B2/L2	Mammalia	Rodentia	Sciuridae	Xerinae			lower molar frag		2/27/2019	y
LACMP23-28108	NSF-16-26	B2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m3			y
LACMP23-28109	NSF-16-27	B2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	partial p3	very juv	2/27/2019	y
LACMP23-28110	NSF-16-28	B2/L2	Mammalia	Carnivora	Canidae		Canis	cf latrans	lower rt i1			n
LACMP23-28111	NSF-16-29	B2/L2	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	upper tooth frag			y
LACMP23-28112	NSF-16-30	B2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M1			y
LACMP23-28113	NSF-16-31	B2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2	anterior broken		y
LACMP23-28114	NSF-16-32	B2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper M3			y
LACMP23-28115	NSF-16-33	B2/L2	Mammalia	Rodentia	?Geomyidae				partial molar 			y
LACMP23-28116	NSF-16-34	B2/L2	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	partial tooth			y
LACMP23-28117; LACMP23-28118; LACMP23-28119; LACMP23-28120; LACMP23-28121; LACMP23-28122; LACMP23-28123; LACMP23-28124; LACMP23-28125; LACMP23-28126; LACMP23-28127	NSF-16-35	B2/L2	Mammalia	Misc					Misc. partial rodent/lagomorph teeth and incisors			n
LACMP23-28128	NSF-16-36	B2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus		upper rt M1	small accessory loph	2/27/2019	y
	NSF-16-37	B2/L2	Mammalia	Rodentia	?Heteromyidae				worn upper rt dP4	large for Dipodomys		y
	NSF-16-38	B2/L2	Mammalia	???					tooth			n
LACMP23-28129	NSF-16-39	B2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial lower m1			y
LACMP23-28130	NSF-16-40	B2/L2	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	partial tooth			y
	NSF-16-41	B2/L2	Insecta	Hymenoptera	Formicidae				ant cranium	Exceptionally well preserved		n
LACMP23-28131	NSF-16-42	B2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y
LACMP23-28132	NSF-16-43	B2/L2	Mammalia	Rodentia	Sciuridae				lower molar frag		2/27/2019	y
LACMP23-28133	NSF-16-44	B2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus	sp	lower lt m1	caked w/ matrix, grade 1		y
LACMP23-28134	NSF-16-45	B2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M1			y
LACMP23-28135	NSF-16-46	B2/L2	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	small accessory loph	2/27/2019	y
LACMP23-28136	NSF-16-47	B2/L2	Mammalia	Rodentia	Cricetidae	Neotominae			upper rt M2	heavily worn	2/27/2019	y
LACMP23-28137	NSF-16-48	B2/L2	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper lt P4			y
LACMP23-28138	NSF-16-49	B2/L2	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	molar	juv	2/27/2019	y
LACMP23-28139	NSF-16-50	B2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y
LACMP23-28140	NSF-16-51	B2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y
LACMP23-28141	NSF-16-52	B2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y
LACMP23-28142	NSF-16-53	B2/L2	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial lower rt molar	anterior broken		y
LACMP23-28143	NSF-16-54	B2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth			y
LACMP23-28144	NSF-16-55	B2/L2	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	upper tooth frag			y
LACMP23-28145	NSF-16-56	B2/L2	Mammalia	Lagomorpha	Leporidae				tooth frag			y
LACMP23-28146	NSF-16-57	B2/L2	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper P2			y
Not Cataloged	NSF-16-57	B2/L2	Mammalia	Lagomorpha/Rodentia					Misc. rodent/lagomorph partial teeth, incisors, and dentary frags			n
LACMP23-28147	NSF-16-58	A1/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial lower lt m1	posterior loop broken		y
LACMP23-28148	NSF-16-59	A1/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	?beecheyi	upper lt M1/M2			y
LACMP23-28149	NSF-16-60	A1/L3	Mammalia	Lagomorpha/Rodentia					incisor			n
LACMP23-28150	NSF-16-61	A1/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt tooth			y
LACMP23-28151	NSF-16-62	A1/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m2			y
LACMP23-28152	NSF-16-63	A2/L3	Mammalia	Carnivora	Mustelidae	Mustelinae	Mustela	frenata	dentary with m1 and p3	missing coronoid process; p3 found in mesh 16; p2 alveolus absent		y
LACMP23-28153	NSF-16-64	A2/L3	Mammalia	Carnivora	Canidae	Caninae	Canis	latrans	upper rt P1			n
LACMP23-28177	NSF-16-65	A2/L3	Aves						beak			n
LACMP23-28154	NSF-16-66	A2/L3	Mammalia	Carnivora	Canidae		Canis	latrans	upper partial incisor			n
LACMP23-28155	NSF-16-67	A2/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lt dentary w/o teeth	complete		y
